id, title, cycle, startTime, duration, outcome
docker_plugin_finalize,"Validate docker plugin finalize command",1,2022-05-24 11:37:32,33.3,PASSED 
docker_plugin_install,"Validate docker plugin install",1,2022-05-24 11:38:05,34.22,PASSED 
docker_plugin_install_with_version,"Validate docker plugin install",1,2022-05-24 11:38:39,33.1,PASSED 
docker_plugin_remove,"Validate docker plugin remove",1,2022-05-24 11:39:12,33.01,PASSED 
docker_plugin_remove_with_version,"Validate docker plugin remove with version",1,2022-05-24 11:39:45,34.9,PASSED 
docker_plugin_update,"Validate docker plugin install updates existing containers",1,2022-05-24 11:40:20,63.7,PASSED 
SoftwareManagement.sm_docker_install_remove_multiple,"Validate end to end behaviour for the docker plugin for multiple docker images with mixed versions",1,2022-05-24 11:41:24,164.54,BLOCKED 



