id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-07-22 00:47:33,6.14,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-07-22 00:47:39,129.2,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-07-22 00:49:48,64.3,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-07-22 00:50:53,11.55,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-07-22 00:51:04,56.53,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-07-22 00:52:01,22.14,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-07-22 00:52:23,56.04,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-07-22 00:53:19,26.2,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-07-22 00:53:45,3.02,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-07-22 00:53:48,19.74,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-07-22 00:54:08,95.48,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-07-22 00:55:44,65.43,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-07-22 00:56:49,8.62,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-07-22 00:56:58,92.72,PASSED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-07-22 00:58:30,16.06,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-07-22 00:58:46,95.99,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-07-22 01:00:23,72.45,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-07-22 01:01:35,61.07,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-07-22 01:02:36,165.21,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-07-22 01:05:21,0.53,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-07-22 01:05:22,84.9,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-07-22 01:06:47,95.4,PASSED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-07-22 01:08:22,155.78,PASSED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-07-22 01:10:58,159.01,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-07-22 01:13:37,177.81,FAILED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-07-22 01:16:35,178.38,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-07-22 01:19:34,150.17,PASSED 



