id, title, cycle, startTime, duration, outcome
apt_fail_noarg,"Validate apt plugin fetures(prepare, list, install, remove finalize) without arguments",1,2022-07-25 10:32:59,6.13,PASSED 
apt_finalize,"Validate apt plugin finalize - dense version",1,2022-07-25 10:33:06,150.26,PASSED 
apt_install,"Validate apt plugin prepare - dense version",1,2022-07-25 10:35:36,64.13,PASSED 
apt_install_fail,"Validate apt plugin prepare - failing",1,2022-07-25 10:36:40,11.24,PASSED 
apt_install_local_file,"Validate apt plugin install from local file - SUCCESS case",1,2022-07-25 10:36:51,55.97,PASSED 
apt_install_local_file_fail,"Validate apt plugin install from local file - FAIL case",1,2022-07-25 10:37:47,21.81,PASSED 
apt_install_local_file_with_version,"Validate apt plugin install from local file AND with a version - SUCCESS case",1,2022-07-25 10:38:09,55.91,PASSED 
apt_install_local_file_with_version_fail,"Validate apt plugin install from local file AND with a version - FAIL case",1,2022-07-25 10:39:05,25.9,PASSED 
apt_list_format,"Validate apt plugin list output format",1,2022-07-25 10:39:31,3.0,PASSED 
apt_prepare,"Validate apt plugin install - dense version",1,2022-07-25 10:39:34,40.57,PASSED 
apt_prepare_install_finalize,"Validate apt plugin install use case",1,2022-07-25 10:40:15,95.09,PASSED 
apt_remove,"Validate apt plugin prepare - dense version",1,2022-07-25 10:41:50,64.96,PASSED 
apt_remove_fail,"Validate apt plugin prepare - failing",1,2022-07-25 10:42:55,8.61,PASSED 
apt_sequence_install_with_version,"Validate apt plugin install with version use case",1,2022-07-25 10:43:03,92.97,PASSED 
apt_sequence_install_with_version_fail,"Validate apt plugin install with version fails use case",1,2022-07-25 10:44:36,15.93,PASSED 
apt_sequence_remove,"Validate apt plugin prepare install remove finalize use case",1,2022-07-25 10:44:52,95.26,PASSED 
apt_sequence_remove_with_version,"Validate apt plugin remove with version use case",1,2022-07-25 10:46:28,72.12,PASSED 
apt_sequence_remove_with_version_fail,"Validate apt plugin remove with version fails when the version not found",1,2022-07-25 10:47:40,60.44,PASSED 
apt_update_list,"Validate apt plugin update-list command use case",1,2022-07-25 10:48:40,163.84,PASSED 
apt_wrong_option,"Validate apt plugin install",1,2022-07-25 10:51:24,0.54,PASSED 
SoftwareManagement.sm_apt_install_download_path,"Install package to directory specified in tedge config set tmp.path",1,2022-07-25 10:51:25,86.4,BLOCKED 
SoftwareManagement.sm_apt_install_fail,"Validate end to end behaviour for a failing installation",1,2022-07-25 10:52:51,94.07,PASSED 
SoftwareManagement.sm_apt_install_remove,"Validate end to end behaviour for the apt plugin for installation and removal of packages",1,2022-07-25 10:54:25,155.46,PASSED 
SoftwareManagement.sm_apt_install_remove_default,"Validate end to end behaviour for the default plugin for installation and removal of packages",1,2022-07-25 10:57:01,157.27,PASSED 
SoftwareManagement.sm_apt_install_remove_multiple,"Validate end to end behaviour for the apt plugin for multiple packages",1,2022-07-25 10:59:38,178.22,FAILED 
SoftwareManagement.sm_apt_install_remove_multiple_mixed,"Validate end to end behaviour for the apt plugin for multiple packages with mixed versions",1,2022-07-25 11:02:36,177.8,BLOCKED 
SoftwareManagement.sm_apt_install_remove_with_version,"Validate end to end behaviour for the apt plugin for packages with version",1,2022-07-25 11:05:34,150.67,PASSED 



