adduser	3.118
apt-utils	1.8.2.3
apt	1.8.2.3
asciijump	1.0.2~beta-10
base-files	10.3+rpi1+deb10u12
base-passwd	3.5.46
bash	5.0-4
bind9-host	1:9.11.5.P4+dfsg-5.1+deb10u7
bsdutils	1:2.33.1-0.1
c8y_configuration_plugin	0.7.2
c8y_log_plugin	0.7.2
ca-certificates	20200601~deb10u2
collectd-core	5.8.1-1.3
collectd	5.8.1-1.3
coreutils	8.30-3
curl	7.64.0-4+deb10u2
dash	0.5.10.2-5
dbus	1.12.20-0+deb10u1
debconf	1.5.71+deb10u1
debianutils	4.8.6.1
dialog	1.3-20190211-1
diffutils	1:3.7-3
dirmngr	2.2.12-1+rpi1+deb10u1
dmsetup	2:1.02.155-3
docker.io	18.09.1+dfsg1-7.1+rpi1+rpt1+deb10u3
dpkg	1.19.8
e2fsprogs	1.44.5-1+deb10u3
fdisk	2.33.1-0.1
findutils	4.6.0+git+20190209-2
firmware-atheros	1:20190114-2+rpt4
firmware-brcm80211	1:20190114-2+rpt4
firmware-libertas	1:20190114-2+rpt4
firmware-misc-nonfree	1:20190114-2+rpt4
firmware-realtek	1:20190114-2+rpt4
gcc-4.9-base	4.9.4-2+rpi1+b19
gcc-5-base	5.5.0-8
gcc-6-base	6.5.0-1+rpi1+b1
gcc-7-base	7.3.0-19
gcc-8-base	8.3.0-6+rpi1
gcc	4:8.3.0-1+rpi2
gnupg-l10n	2.2.12-1+rpi1+deb10u1
gnupg-utils	2.2.12-1+rpi1+deb10u1
gnupg2	2.2.12-1+rpi1+deb10u1
gnupg	2.2.12-1+rpi1+deb10u1
gpg-agent	2.2.12-1+rpi1+deb10u1
gpg-wks-client	2.2.12-1+rpi1+deb10u1
gpg-wks-server	2.2.12-1+rpi1+deb10u1
gpg	2.2.12-1+rpi1+deb10u1
gpgconf	2.2.12-1+rpi1+deb10u1
gpgsm	2.2.12-1+rpi1+deb10u1
gpgv	2.2.12-1+rpi1+deb10u1
grep	3.3-1
gzip	1.9-3+deb10u1
hostname	3.21
ifupdown	0.8.35
init-system-helpers	1.56+nmu1
init	1.56+nmu1
iproute2	4.20.0-2+deb10u1
iptables	1.8.2-4
iputils-ping	3:20180629-2+deb10u2
isc-dhcp-client	4.4.1-2+deb10u1
kmod	26-1
less	487-0.1
